구분,지정일자,최신재지정일자,업소명,소재지(도로명),소재지(지번),소재지전화번호,주된음식,면적,행정동,데이터제공일자
재지정,2004-06-24,2016-07-12,무안막갈비,경기도 용인시 처인구 모현읍 백옥대로2186번길 11,경기도 용인시 처인구 모현읍 갈담리 393 - 10  ,031-322-3492,갈비,134.25,처인구 모현읍,2022-07-21
재지정,2003-01-24,2018-11-12,황순옥옛날감자탕,경기도 용인시 처인구 포곡읍 전대로 24,경기도 용인시 처인구 포곡읍 전대리 130 - 1  ,031-322-0405,한방감자탕,72.25,처인구 포곡읍,2022-07-21
재지정,2011-07-25,2019-04-03,돈까스클럽용인시청점,"경기도 용인시 처인구 중부대로 1116 (삼가동,1층)",경기도 용인시 처인구 삼가동 195 - 16 1층 ,031-335-7322,돈까스,321.5,처인구 역삼동,2022-07-21
재지정,2004-06-24,2017-11-12,궁촌,경기도 용인시 처인구 지삼로 475 (삼가동),경기도 용인시 처인구 삼가동 392  ,031-321-0523,한정식,101.18,처인구 역삼동,2022-07-21
재지정,2004-06-24,2016-07-12,교동두부,경기도 용인시 처인구 양지면 양대로 37,경기도 용인시 처인구 양지면 양지리 451 - 1  ,031-321-3332,"한정식, 두부",104.73,처인구 양지면,2022-07-21
재지정,2005-07-18,2018-11-12,학마루,경기도 용인시 처인구 용인대학로 96 (역북동),경기도 용인시 처인구 역북동 551 - 9  ,031-321-1201,"닭볶음탕,백숙",167.89,처인구 역삼동,2022-07-21
재지정,2008-01-07,2018-10-08,대가해신탕,경기도 용인시 처인구 이동읍 이원로 219,경기도 용인시 처인구 이동읍 묵리 739 - 6  ,031-332-2913,"민물매운탕, 참게매운탕",116.79,처인구 이동읍,2022-07-21
재지정,2012-08-30,2018-11-12,솔밭,경기도 용인시 처인구 이동읍 경기동로675번길 7 (외 1필지),경기도 용인시 처인구 이동읍 송전리 750 외 1필지 ,031-323-3392,"흑돼지,오리",169.93,처인구 이동읍,2022-07-21
지정,2018-11-01,2018-11-01,눈꽃참치,"경기도 용인시 처인구 금령로71번길 9, 2층 (김량장동)","경기도 용인시 처인구 김량장동 254 - 364 신라빌딩, 2층 ",031-321-5234,참치회,141.09,처인구 중앙동,2022-07-21
재지정,2008-01-07,2018-11-12,도둑골화로구이,"경기도 용인시 처인구 포곡읍 포곡로117번길 23, 1,2층","경기도 용인시 처인구 포곡읍 둔전리 167 - 2 1,2층 ",031-322-5292,돼지갈비,224.81,처인구 포곡읍,2022-07-21
재지정,2009-09-11,2018-11-12,본수원갈비(용인점),"경기도 용인시 처인구 중부대로 1387 (김량장동, 1층, 2층 일부, 3층)","경기도 용인시 처인구 김량장동 329 - 7 1층, 2층 일부, 3층 ",031-338-8434,갈비,1016.36,처인구 중앙동,2022-07-21
재지정,2012-08-30,2018-11-12,횡성한우타운&오리전문점,경기도 용인시 처인구 남사면 통삼로 507,경기도 용인시 처인구 남사면 통삼리 607  ,031-338-9922,한우모듬,313.25,처인구 남사면,2022-07-21
재지정,2012-08-30,2018-11-12,들꽃,경기도 용인시 처인구 이동읍 백자로156번길 19,경기도 용인시 처인구 이동읍 서리 626  ,031-321-1122,한정식,180.82,처인구 이동읍,2022-07-21
재지정,2010-06-22,2018-11-12,봉화한약우가든,"경기도 용인시 처인구 경안천로 14 (마평동,외2필지2층)",경기도 용인시 처인구 마평동 892 외2필지2층 ,031-321-7898,"등심, 갈매기살",252.52,처인구 동부동,2022-07-21
재지정,2011-07-25,2018-11-12,삼보추어탕,"경기도 용인시 처인구 중부대로 1116 (삼가동,외1필지 지1층)",경기도 용인시 처인구 삼가동 195 - 16 외1필지 지1층 ,031-334-5580,추어탕,277.42,처인구 역삼동,2022-07-21
지정,2017-12-21,2017-12-21,신촌설렁탕,"경기도 용인시 처인구 포곡읍 성산로692번길 16, 1층 (외3필지)",경기도 용인시 처인구 포곡읍 전대리 325 - 7 외3필지 1층 ,031-321-4480,설렁탕,95.86,처인구 포곡읍,2022-07-21
재지정,2011-12-29,2018-11-12,칡냉면전문점 설봄,"경기도 용인시 처인구 명지로 317 (남동,외1필지 2층)",경기도 용인시 처인구 남동 618 - 1 외1필지 2층 ,031-322-9993,"칡냉명, 만두국",275.45,처인구 중앙동,2022-07-21
재지정,2012-08-30,2018-11-12,터,경기도 용인시 처인구 이동읍 백자로156번길 23 (외2필지 1층),경기도 용인시 처인구 이동읍 서리 627 외2필지 1층 ,031-338-3823,한정식,113.18,처인구 이동읍,2022-07-21
지정,2017-12-21,2017-12-21,(주)갈비명가소들녘,"경기도 용인시 처인구 양지면 양지로 242, 1,2층 (외1필지)","경기도 용인시 처인구 양지면 양지리 186 - 1 1,2층 외1필지 ",031-322-3922,갈비,951.6,처인구 양지면,2022-07-21
재지정,2015-04-30,2018-11-12,김남희한우,"경기도 용인시 처인구 용인대학로 98, 2층 (역북동)",경기도 용인시 처인구 역북동 551 - 28 2층 ,,"갈비탕, 육회비빔밥",137.16,처인구 역삼동,2022-07-21
재지정,2017-01-09,2018-11-12,이향가든,경기도 용인시 처인구 지삼로 508 (삼가동),경기도 용인시 처인구 삼가동 323 - 1  ,031-322-2917,"백숙,삼계탕",165.6,처인구 역삼동,2022-07-21
재지정,2015-04-30,2018-11-12,대덕골보쌈칼국수,경기도 용인시 처인구 금령로71번길 16 (김량장동),경기도 용인시 처인구 김량장동 254 - 369 외1필지 ,031-335-0201,"보쌈, 칼국수",213,처인구 중앙동,2022-07-21
재지정,2015-10-02,2018-11-12,쌈천리,경기도 용인시 처인구 이동읍 이원로 6,경기도 용인시 처인구 이동읍 천리 252 - 7  ,031-334-3839,쌈정식,154.38,처인구 이동읍,2022-07-21
지정,2016-09-26,2016-09-26,메이홍,"경기도 용인시 처인구 양지면 한터로 690 (A동 1~2층, C동, D동, E동, F동, G동, H동, I동, J동)","경기도 용인시 처인구 양지면 대대리 765 A동 1~2층, C동, D동, E동, F동, G동, H동, I동, J동 ",,"짜장면, 짬뽕",475.29,처인구 양지면,2022-07-21
지정,2017-12-21,2017-12-21,본가왕뼈감자탕,"경기도 용인시 처인구 중부대로 1403 (김량장동, 1층 일부, 외1필지)","경기도 용인시 처인구 김량장동 336 - 10 1층 일부, 외1필지 ",,감자탕,389.4,처인구 중앙동,2022-07-21
지정,2017-12-21,2017-12-21,명가,"경기도 용인시 처인구 포곡읍 포곡로272번길 19-6 (1층, 외1필지)","경기도 용인시 처인구 포곡읍 삼계리 544 - 1 1층, 외1필지 ",,코다리찜,181.44,처인구 포곡읍,2022-07-21
지정,2017-12-21,2017-12-21,송정누룽지백숙,"경기도 용인시 처인구 포곡읍 에버랜드로 74 (1층 일부, 외1필지)","경기도 용인시 처인구 포곡읍 전대리 102 - 2 1층 일부, 외1필지 ",031-336-0294,누룽지백숙,288,처인구 포곡읍,2022-07-21
지정,2018-11-01,2018-11-01,내린천민물매운탕,"경기도 용인시 처인구 백령로 2-1, 1층 (유방동)",경기도 용인시 처인구 유방동 641  ,031-338-1088,매운탕 등,146.14,처인구 유림동,2022-07-21
지정,2018-11-01,2018-11-01,대가원(용인점),"경기도 용인시 처인구 이동읍 백옥대로 861, 1층",경기도 용인시 처인구 이동읍 천리 506 - 5 1층 ,,"한우등심, 갈비탕, 냉면 등",432,처인구 이동읍,2022-07-21
지정,2018-11-01,2018-11-01,아함흥냉면,"경기도 용인시 처인구 명지로55번길 17-1, 1층 (역북동)",경기도 용인시 처인구 역북동 586 - 9 1층 일부 ,031-335-7712,"냉면, 갈비탕 등",179.27,처인구 역삼동,2022-07-21
지정,2018-11-01,2018-11-01,해원일식,"경기도 용인시 처인구 낙은로 138, 1층 (역북동)",경기도 용인시 처인구 역북동 214 - 3 1층 ,031-336-7717,"생선회, 매운탕 등",154.08,처인구 역삼동,2022-07-21
재지정,2013-08-01,2018-11-12,로타리가든,"경기도 용인시 기흥구 백남준로 47 (상갈동,(1,2층))","경기도 용인시 기흥구 상갈동 143 - 1 (1,2층) ",031-285-5030,소갈비,407.56,기흥구 상갈동,2022-07-21
재지정,1999-09-30,2018-11-12,옛고향촌,경기도 용인시 기흥구 갈천로7번길 63-4 (신갈동),경기도 용인시 기흥구 신갈동 69 - 12  ,031-283-7788,우거지갈비탕,231,기흥구 신갈동,2022-07-21
재지정,2011-12-20,2016-07-12,농우본수원갈비,"경기도 용인시 기흥구 흥덕4로15번길 8 (영덕동, 지층,1층,2층)","경기도 용인시 기흥구 영덕동 1105 - 3 지층,1층,2층 ",031-283-0771,숯불소갈비,1202.11,기흥구 영덕동,2022-07-21
재지정,2004-06-24,2018-11-12,기흥민물장어,경기도 용인시 기흥구 기흥단지로24번길 2 (고매동),경기도 용인시 기흥구 고매동 525 - 19  ,031-286-9717,장어구이,260.75,기흥구 기흥동,2022-07-21
재지정,2013-08-01,2016-07-12,태광골프장클럽하우스식당,경기도 용인시 기흥구 흥덕4로 77 (영덕동),경기도 용인시 기흥구 영덕동 258 - 2  ,070-8189-6033,갈비탕,1204,기흥구 영덕동,2022-07-21
재지정,2011-08-01,2018-11-12,주식회사 인앤아웃(1),"경기도 용인시 기흥구 공세로 173 (공세동,외18필지)",경기도 용인시 기흥구 공세동 260 - 1 외18필지 ,031-286-5001,"국밥,전주비빔밥",339.94,기흥구 기흥동,2022-07-21
재지정,2011-12-20,2018-11-12,소박사,경기도 용인시 기흥구 기흥로14번길 2-10 (구갈동),경기도 용인시 기흥구 구갈동 374 - 8  ,,생갈비 양념갈비,101.79,기흥구 구갈동,2022-07-21
재지정,2005-07-18,2018-04-19,한고집 용인신갈점,경기도 용인시 기흥구 신갈로68번길 22 (신갈동),경기도 용인시 기흥구 신갈동 53 - 9  ,031-284-8989,"밀복, 까치복국 등",111.6,기흥구 신갈동,2022-07-21
재지정,2011-08-01,2018-11-12,나주집,경기도 용인시 기흥구 기흥로14번길 10-12 (구갈동),경기도 용인시 기흥구 구갈동 374 - 18  ,031-282-7877,"제비추리,등심",74.88,기흥구 구갈동,2022-07-21
재지정,2006-06-30,2018-11-12,신갈복집,경기도 용인시 기흥구 신구로12번길 31 (구갈동),경기도 용인시 기흥구 구갈동 541 - 5  ,031-282-3144,복지리,120.54,기흥구 구갈동,2022-07-21
재지정,2005-07-18,2018-11-12,화덕위에고등어,경기도 용인시 기흥구 용구대로 2181 (신갈동),경기도 용인시 기흥구 신갈동 388 - 287  ,031-282-2967,버섯전골,386.69,기흥구 신갈동,2022-07-21
재지정,2007-11-30,2018-11-12,서울녹각삼계탕,"경기도 용인시 기흥구 갈천로 76 (상갈동,1층)",경기도 용인시 기흥구 상갈동 101 - 12 1층 ,031-285-3475,삼계탕,75.83,기흥구 상갈동,2022-07-21
재지정,1999-09-30,2018-11-12,주식회사인앤아웃(2)한식전문점,"경기도 용인시 기흥구 공세로 173 (공세동,외18필지)",경기도 용인시 기흥구 공세동 260 - 1 외18필지 ,031-286-5001,향천우동,248.72,기흥구 기흥동,2022-07-21
재지정,2003-01-24,2018-11-12,춘향골할매 추어탕,경기도 용인시 기흥구 구성로 82 (언남동),경기도 용인시 기흥구 언남동 354 - 2  ,031-284-0228,추어탕.숙회,151.15,기흥구 구성동,2022-07-21
재지정,2011-12-20,2018-11-12,가마명가,경기도 용인시 기흥구 용구대로2469번길 38 (보정동),경기도 용인시 기흥구 보정동 1288 - 2  ,031-265-9236,"솥밥정식, 갈비",387.24,기흥구 보정동,2022-07-21
재지정,2009-11-30,2016-07-12,박터진흥부네,경기도 용인시 기흥구 청명산로 136 (영덕동),경기도 용인시 기흥구 영덕동 132  ,031-273-5293,한정식,273.62,기흥구 영덕동,2022-07-21
재지정,2011-12-20,2016-08-08,풍천갈비(신갈점),경기도 용인시 기흥구 신구로12번길 35 (구갈동),경기도 용인시 기흥구 구갈동 541 - 2  ,031-284-2696,갈비,329.13,기흥구 구갈동,2022-07-21
재지정,2001-10-10,2018-11-12,우리랑,경기도 용인시 기흥구 기흥단지로 115 (고매동),경기도 용인시 기흥구 고매동 377 - 52  ,031-285-9292,등심,579.98,기흥구 기흥동,2022-07-21
재지정,2007-06-19,2018-11-12,사또가든,경기도 용인시 기흥구 기흥단지로 89 (고매동),경기도 용인시 기흥구 고매동 409 - 8  ,031-285-6865,"갈비,등심",305.85,기흥구 기흥동,2022-07-21
재지정,2007-06-19,2018-11-12,강너머,경기도 용인시 기흥구 기흥로14번길 10-6 (구갈동),경기도 용인시 기흥구 구갈동 374 - 15  ,031-286-6440,홍어,108.24,기흥구 구갈동,2022-07-21
재지정,2004-06-24,2018-11-12,불타는청춘,경기도 용인시 기흥구 마북로59번길 2-1 (마북동),경기도 용인시 기흥구 마북동 282  ,031-284-9774,닭요리,192.88,기흥구 마북동,2022-07-21
재지정,2006-06-30,2018-11-12,서해회바다,"경기도 용인시 기흥구 갈천로 90 (상갈동,1층,2층)","경기도 용인시 기흥구 상갈동 123 - 12 1층,2층 ",031-284-8811,"광어,우럭",437.23,기흥구 상갈동,2022-07-21
재지정,2008-11-25,2016-07-12,우송가든,"경기도 용인시 기흥구 언동로71번길 5 (청덕동,외1 A)",경기도 용인시 기흥구 청덕동 392 - 1 외1 A ,031-284-2767,한우생등심,192.5,기흥구 구성동,2022-07-21
재지정,2006-06-30,2018-04-19,물레방아,경기도 용인시 기흥구 지삼로250번길 27 (지곡동),경기도 용인시 기흥구 지곡동 75 - 1  ,031-287-2448,닭백숙,449.3,기흥구 상갈동,2022-07-21
재지정,2005-07-18,2015-07-22,송학,"경기도 용인시 기흥구 구성로 179-11 (언남동,(1동))",경기도 용인시 기흥구 언남동 146 - 1 (1동) ,031-284-3359,복요리,175.86,기흥구 구성동,2022-07-21
재지정,2005-07-18,2018-10-08,용인전통순대국,경기도 용인시 기흥구 언동로 7 (언남동),경기도 용인시 기흥구 언남동 174 - 6  ,031-283-1243,순대국,180,기흥구 구성동,2022-07-21
재지정,2006-06-30,2016-07-12,홍도해물탕,"경기도 용인시 기흥구 민속촌로11번길 7, 2층 (보라동)",경기도 용인시 기흥구 보라동 394 2층 ,031-285-6337,"해물탕,해물찜",225.61,기흥구 상갈동,2022-07-21
재지정,2014-05-19,2018-11-12,한성가든,"경기도 용인시 기흥구 구교동로 170 (마북동,외2필지)",경기도 용인시 기흥구 마북동 176 - 1 외2필지 ,031-284-4664,"등심,삼겹살",420.62,기흥구 마북동,2022-07-21
재지정,2014-05-19,2018-11-12,세꼬시마을,경기도 용인시 기흥구 죽전로43번길 11-5 (보정동),경기도 용인시 기흥구 보정동 1206 - 7  ,031-898-0908,"세꼬시,활어회",134.96,기흥구 보정동,2022-07-21
재지정,2007-06-19,2018-11-12,(주)한국관,"경기도 용인시 기흥구 기흥단지로 8 (고매동,외1필지)",경기도 용인시 기흥구 고매동 413 - 27 외1필지 ,031-275-6100,"갈비,등심",1614.16,기흥구 기흥동,2022-07-21
재지정,2007-06-19,2018-11-12,도원,"경기도 용인시 기흥구 용구대로 1859, 2층 (하갈동)",경기도 용인시 기흥구 하갈동 143 - 4 2층 ,031-283-7227,"자장,짬뽕",459.58,기흥구 영덕동,2022-07-21
재지정,2007-11-30,2018-11-12,다원,경기도 용인시 기흥구 마북로 119-4 (마북동),경기도 용인시 기흥구 마북동 237 - 2  ,031-284-2276,한정식,218,기흥구 마북동,2022-07-21
재지정,2007-06-19,2016-07-12,주문진해물,"경기도 용인시 기흥구 민속촌로 37 (보라동, 본관1층, 별관1층)","경기도 용인시 기흥구 보라동 410 - 2 본관1층, 별관1층 ",031-282-5353,"해물찜,해물탕",283.49,기흥구 상갈동,2022-07-21
재지정,2008-11-25,2016-07-12,호박촌,"경기도 용인시 기흥구 중부대로773번길 7 (상하동,1층)",경기도 용인시 기흥구 상하동 250 - 4 1층 ,031-283-0708,오리훈제,70.22,기흥구 상하동,2022-07-21
재지정,2009-11-30,2018-11-12,남원골추어탕과나주곰탕,"경기도 용인시 기흥구 중부대로 563 (구갈동,명문메디칼프라자 101,102호)","경기도 용인시 기흥구 구갈동 581 - 2 명문메디칼프라자 101,102호 ",031-282-0499,"추어탕,곰탕",197.6,기흥구 구갈동,2022-07-21
재지정,2013-08-01,2018-11-12,소문난 대구왕뽈찜,"경기도 용인시 기흥구 죽전로 39 (보정동, 에스제이타워 201호)",경기도 용인시 기흥구 보정동 1207 - 3  ,031-897-2134,대구왕뻘찜,189.2,기흥구 보정동,2022-07-21
재지정,2015-10-07,2018-11-12,(주)청송본가,"경기도 용인시 기흥구 용구대로 2439 (마북동,2층)",경기도 용인시 기흥구 마북동 502 - 75 2층 ,031-284-4001,"등심,주물럭",1011.15,기흥구 마북동,2022-07-21
재지정,2008-11-25,2018-11-12,가오리와방패연,"경기도 용인시 기흥구 하갈로 98 (하갈동,1,2,3층)","경기도 용인시 기흥구 하갈동 233 1,2,3층 ",031-216-1100,한정식,442.8,기흥구 영덕동,2022-07-21
재지정,2008-11-25,2016-07-12,화춘옥,"경기도 용인시 기흥구 동백죽전대로 483 (동백동,지하1층,지상1,2,3층)","경기도 용인시 기흥구 동백동 445 - 4 지하1층,지상1,2,3층 ",031-8005-7900,갈비,557.25,기흥구 동백동,2022-07-21
재지정,2009-11-30,2018-04-19,디엔차이,"경기도 용인시 기흥구 용구대로2469번길 20 (보정동,죽전자이2차 114,115호)","경기도 용인시 기흥구 보정동 1291 죽전자이2차 114,115호 ",031-889-7787,"짜장면,짬뽕,탕수육",122.4,기흥구 보정동,2022-07-21
재지정,2014-05-19,2018-11-12,죽전민수사,"경기도 용인시 기흥구 포은대로512번길 41 (보정동, SJ빌딩 가동 1층)",경기도 용인시 기흥구 보정동 375 - 8 SJ빌딩 가동 1층 ,031-897-2220,생선회,278.82,기흥구 보정동,2022-07-21
재지정,2011-08-01,2016-07-12,큰마당감자탕,"경기도 용인시 기흥구 한보라1로 5 (보라동, 보라메가타운101,102,103,105호)","경기도 용인시 기흥구 보라동 578 - 1 보라메가타운101,102,103,105호 ",031-8005-8887,감자탕,184.35,기흥구 상갈동,2022-07-21
재지정,2009-11-30,2018-04-19,천하장사,"경기도 용인시 기흥구 용인향교로20번길 7 (언남동,1층)",경기도 용인시 기흥구 언남동 330 1층 ,031-283-8590,"생삼겹살, 돼지갈비 등",324,기흥구 구성동,2022-07-21
재지정,2009-11-30,2016-07-12,주식회사 나주집,"경기도 용인시 기흥구 흥덕4로 25 (영덕동,1,2층)","경기도 용인시 기흥구 영덕동 1103 - 1 1,2층 ",031-282-0303,"소고기(안창,차돌)",482.88,기흥구 영덕동,2022-07-21
재지정,2009-11-30,2018-11-12,카페앤레스토랑 하이드파크,"경기도 용인시 기흥구 백남준로 7 (상갈동,외2필지 1,2층)","경기도 용인시 기흥구 상갈동 150 - 7 외2필지 1,2층 ",031-286-8584,"파스타,피자",484.96,기흥구 상갈동,2022-07-21
재지정,2011-12-20,2018-11-12,뼈나라감자탕,"경기도 용인시 기흥구 죽전로43번길 11-15 (보정동,1층)",경기도 용인시 기흥구 보정동 1206 - 2 1층 ,031-889-3360,감자탕,150.48,기흥구 보정동,2022-07-21
재지정,2011-12-20,2018-11-12,에코의 서재,"경기도 용인시 기흥구 죽전로15번길 11-3 (보정동,1층)",경기도 용인시 기흥구 보정동 1187 - 7 1층 ,031-266-1138,"퀘사디아, 그라탕",110.35,기흥구 보정동,2022-07-21
재지정,2010-12-31,2016-07-12,우리네 설렁탕,"경기도 용인시 기흥구 동백3로11번길 47 (중동,1층)",경기도 용인시 기흥구 중동 844 - 4 1층 ,031-282-2488,설렁탕,395.68,기흥구 동백동,2022-07-21
재지정,2011-12-20,2018-04-19,만다린,"경기도 용인시 기흥구 동탄기흥로 957 (공세동,2층 201호)",경기도 용인시 기흥구 공세동 390 - 4 2층 201호 ,031-261-0631,"짜장, 짬뽕 등",214.2,기흥구 기흥동,2022-07-21
재지정,2011-08-01,2018-11-12,싱싱광어,"경기도 용인시 기흥구 죽전로 3 (보정동,메트로프라자 104,105,106호)","경기도 용인시 기흥구 보정동 1195 - 1 메트로프라자 104,105,106호 ",031-889-3633,회,107.04,기흥구 보정동,2022-07-21
재지정,2015-10-07,2018-04-19,경희마루,"경기도 용인시 기흥구 덕영대로 1674 (서천동,2층)",경기도 용인시 기흥구 서천동 320 - 11 2층 ,031-202-3840,숯불구이,456.32,기흥구 서농동,2022-07-21
