주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,요금정보,관리기관명,전화번호,위도,경도
죽전1동,공영,부설,경기도 용인시 수지구 대지로15번길 50,경기도 용인시 수지구 죽전동 1070-9번지,52,1,미시행,평일+토요일+공휴일,무료,용인시 죽전1동,031-324-8664,37.3310109,127.1138205
동천동,공영,부설,경기도 용인시 수지구 신수로783번길 40,경기도 용인시 수지구 동천동 176-4번지,35,1,미시행,평일+토요일+공휴일,무료,용인시 동천동,031-324-8713,37.3417009,127.0990529
상현1동,공영,부설,경기도 용인시 수지구 상현로 71,경기도 용인시 수지구 상현동 839번지,35,1,미시행,평일+토요일+공휴일,무료,용인시 상현1동,031-324-8722,37.304655,127.0812969
수지 노상,공영,노상,경기도 용인시 수지구 풍덕천로189번길 13,경기도 용인시 수지구 풍덕천동 37-10번지,92,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.3274008,127.1001629
풍덕천공영,공영,노외,경기도 용인시 수지구 풍덕천로189번길 13,경기도 용인시 수지구 풍덕천동 37-10번지,250,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.3274008,127.1001629
금학공영,공영,노외,경기도 용인시 처인구 용문로 140,경기도 용인시 처인구 김량장동 324-8번지,132,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.2362712,127.2010973
중앙공영,공영,노외,경기도 용인시 처인구 백옥대로 1103,경기도 용인시 처인구 김량장동 80-2번지,328,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.2339972,127.2084275
보정공영,공영,노외,경기도 용인시 기흥구 죽전로27번길 14-4,경기도 용인시 기흥구 보정동 1199-1번지,59,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.3217322,127.1118551
상갈공영,공영,노외,경기도 용인시 기흥구 금화로105번길 3,경기도 용인시 기흥구 상갈동 475번지,188,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.2657382,127.1066674
수지노외,공영,노외,경기도 용인시 수지구 문정로 15,경기도 용인시 수지구 풍덕천동 1080-19번지,22,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.3220973,127.0958238
신갈 제1공영,공영,노외,경기도 용인시 기흥구 갈천로7번길 69,경기도 용인시 기흥구 신갈동 69-11번지,117,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.2707389,127.1067193
상현2동(상현공영),공영,부설,경기도 용인시 수지구 만현로 48,경기도 용인시 수지구 상현동 1199번지,158,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-324-8757,37.3117061,127.087046
처인구청,공영,부설,경기도 용인시 처인구 금령로 50,경기도 용인시 처인구 김량장동 286번지,113,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.2344685,127.2015096
기흥구청,공영,부설,경기도 용인시 기흥구 관곡로 95,경기도 용인시 기흥구 구갈동 355번지,238,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.2801294,127.1146591
수지구청,공영,부설,경기도 용인시 수지구 포은대로 435,경기도 용인시 수지구 풍덕천동 720번지,568,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.322096,127.0974145
구성동,공영,부설,경기도 용인시 기흥구 구성로77번길 17,경기도 용인시 기흥구 언남동 342-1번지,96,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.2965962,127.1187437
수지아르피아(죽전2동),공영,부설,경기도 용인시 수지구 포은대로 499,경기도 용인시 수지구 죽전동 1003-43번지,483,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.3260974,127.1071904
행정타운,공영,부설,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556번지,1118,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-324-3104,37.2407685,127.1774648
신갈동(기흥구보건소),공영,부설,경기도 용인시 기흥구 신갈로58번길 11,경기도 용인시 기흥구 신갈동 60-3번지,117,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-324-6602,37.2725139,127.106688
보정동,공영,부설,경기도 용인시 기흥구 죽전로 40,경기도 용인시 기흥구 보정동 1264번지,92,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-324-6771,37.3197853,127.1126307
동백노상,공영,노상,경기도 용인시 기흥구 동백중앙로 214,경기도 용인시 기흥구 중동 866-1번지,37,1,미시행,평일+토요일+공휴일,무료,용인시  용인도시공사(위탁),031-338-6581,37.2723218,127.1516623
행정타운 주변,공영,노상,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556번지,123,1,미시행,평일+토요일+공휴일,무료,용인시 회계과,031-324-3104,37.2407685,127.1774648
국도 42호선 주변,공영,노상,경기도 용인시 처인구 김량장동 380,경기도 용인시 처인구 김량장동 380,129,1,미시행,평일+토요일+공휴일,무료,용인시 처인구청,031-324-5392,37.2337725,127.1974059
명지대사거리 주변,공영,노상,경기도 용인시 처인구 용문로 42,경기도 용인시 처인구 역북동 426번지 삼성에버랜드사원아파트,27,1,미시행,평일+토요일+공휴일,무료,용인시 처인구청,031-324-5392,37.2369912,127.1905398
문예회관 주변,공영,노상,경기도 용인시 처인구 중부대로1440번길 5,경기도 용인시 처인구 김량장동 310-15번지,163,1,미시행,평일+토요일+공휴일,무료,용인시 처인구청,031-324-5392,37.227738,127.2013567
구갈119안전센터 주변,공영,노상,경기도 용인시 기흥구 신구로64번길 5,경기도 용인시 기흥구 구갈동 398-3번지,57,1,미시행,평일+토요일+공휴일,무료,용인시 기흥구청,031-324-6351,37.2777909,127.1100553
신갈초등학교 주변,공영,노상,경기도 용인시 기흥구 신갈로84번길 15-1,경기도 용인시 기흥구 신갈동 40-30번지,125,1,미시행,평일+토요일+공휴일,무료,용인시 기흥구청,031-324-6351,37.2740722,127.1072426
용인종합운동장,공영,부설,경기도 용인시 처인구 경안천로 76,경기도 용인시 처인구 마평동 703번지,440,1,미시행,평일+토요일+공휴일,무료,용인시 체육진흥과,031-324-2253,37.2378001,127.2132386
남사면,공영,부설,경기도 용인시 처인구 남사읍 내기로 22,경기도 용인시 처인구 남사읍 봉무리 438-1번지,65,1,미시행,평일+토요일+공휴일,무료,용인시 남사면,031-324-5642,37.1152903,127.1503531
백암면,공영,부설,경기도 용인시 처인구 백암면 백암로 189,경기도 용인시 처인구 백암면 백암리 495-3번지,37,1,미시행,평일+토요일+공휴일,무료,용인시 백암면,031-324-5791,37.1635886,127.3753008
동부동,공영,부설,경기도 용인시 처인구 중부대로 1574,경기도 용인시 처인구 마평동 533-8번지,61,1,미시행,평일+토요일+공휴일,무료,용인시 동부동,031-324-5981,37.2327708,127.2190956
상하동,공영,부설,경기도 용인시 기흥구 어정로 62-23,경기도 용인시 기흥구 상하동 435-12번지,43,1,미시행,평일,무료,용인시 상하동,031-324-6782,37.2704096,127.1382984
신봉동,공영,부설,경기도 용인시 수지구 수지로 215,경기도 용인시 수지구 신봉동 898번지,46,1,미시행,평일+토요일+공휴일,무료,용인시 신봉동,031-324-8648,37.3205926,127.0834908
성복동,공영,부설,경기도 용인시 수지구 성복1로 100,경기도 용인시 수지구 성복동 777번지,47,1,미시행,평일,무료,용인시 성복동,031-324-8762,37.3163398,127.068911
중앙노외,공영,노외,경기도 용인시 처인구 금령로90번길 3-18,경기도 용인시 처인구 김량장동 89번지,136,1,미시행,평일,유료,용인시  용인도시공사(위탁)/일부 월정기 구역(도시공사),031-338-6581,37.2348552,127.2072353
신갈 제2공영,공영,노외,경기도 용인시 기흥구 갈천로7번길 45-11,경기도 용인시 기흥구 신갈동 470-9번지,140,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.270849,127.1044082
중앙동,공영,부설,경기도 용인시 처인구 금령로78번길 8-1,경기도 용인시 처인구 김량장동 303-3번지,79,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.2341107,127.205295
여성회관,공영,부설,경기도 용인시 수지구 문정로7번길 15,경기도 용인시 수지구 풍덕천동 1086번지,443,1,미시행,평일,유료,용인시  용인도시공사(위탁),031-338-6581,37.3204578,127.0954156
