시군명,인허가일자,사업장명,통합영업상태명,폐업일자,소재지시설전화번호,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,업태구분명정보,X좌표값,Y좌표값,의료기관종별명,총면적
용인시,20060322,가람한의원,영업/정상,,031-889-5549,"경기도 용인시 수지구 성복2로 17, 103호 (성복동, 수지골드프라자)",경기도 용인시 수지구 성복동 33번지 1호,16860,37.31074141,127.0812686,한의원,207127.8095,423202.4889,한의원,150
용인시,20041011,가정이편한가정의학과의원,영업/정상,,031-284-0775,"경기도 용인시 기흥구 덕영대로2077번길 16, 302호 (영덕동, 기흥대정프라자)",경기도 용인시 기흥구 영덕동 14번지 2호 기흥대정프라자 302호,17095,37.2681254,127.0964451,의원,208531.4917,418466.6457,의원,131.1
용인시,20040614,가족사랑한의원,영업/정상,,031-339-8998,경기도 용인시 처인구 이동읍 백옥대로 628,경기도 용인시 처인구 이동읍 천리 237번지 18호,17128,37.1926688,127.2071778,한의원,218329.4219,410119.29,한의원,0
용인시,20110208,가족애치과의원,영업/정상,,031-264-2124,"경기도 용인시 수지구 성복2로 126, 205,206호 (성복동, 엘지빌리지3차상가동)","경기도 용인시 수지구 성복동 726번지 성동마을 엘지빌리지 3차 상가동 205,206호",16851,37.31812169,127.0727483,치과의원,206383.5235,424022.557,치과의원,76.56
용인시,20140210,가지런한 용인치과의원,폐업,20210601,031-337-2275,"경기도 용인시 처인구 금령로 86, 2층 (김량장동)",경기도 용인시 처인구 김량장동 301-3,17051,37.23508365,127.2058224,치과의원,218173.9215,414810.5236,치과의원,229
용인시,20001019,가톨릭경희한의원,폐업,20170601,031-266-0898,"경기도 용인시 수지구 풍덕천로 122, 4층 402-1호 (풍덕천동, 하나로프라자)",경기도 용인시 수지구 풍덕천동 1080번지 9호 하나로프라자 4층 402-1호,16841,37.3224309,127.0955196,한의원,208399.9998,424503.2154,한의원,82.9
용인시,20130911,갈보리치과의원,영업/정상,,031-281-2275,경기도 용인시 기흥구 강남동로114번길 28 (상하동),경기도 용인시 기흥구 상하동 633번지 4호,16981,37.273042,127.1370516,치과의원,212089.66,419027.1967,치과의원,108
용인시,20070514,감로한의원,영업/정상,,031-332-7312,"경기도 용인시 처인구 양지면 도창로 2-2, 1층",경기도 용인시 처인구 양지면 평창리 627번지 46호,17163,37.2147521,127.3219258,한의원,228502.8771,412617.7397,한의원,0
용인시,19990910,감초당한의원,폐업,20071114,031-282-7588,경기도 용인시 기흥구 신구로54번길 12 (구갈동),경기도 용인시 기흥구 구갈동 403번지 1호,16971,37.276655,127.1107979,한의원,,,한의원,131.2
용인시,20000124,강경태한의원,영업/정상,,031-265-2840,"경기도 용인시 수지구 정평로 40-1, 4층 404호 (풍덕천동, 거묵상가1)",경기도 용인시 수지구 풍덕천동 1047번지 1호 거묵상가1 4층 404호,16844,37.31989605,127.0875516,한의원,207695.5473,424221.1292,한의원,98.85
용인시,20041202,강남경희한의원,영업/정상,,031-275-0278,"경기도 용인시 기흥구 강남동로 10, 404호 (구갈동, 강남피아)",경기도 용인시 기흥구 구갈동 594번지,16978,37.27123669,127.1281491,한의원,211297.5568,418817.9725,한의원,150.04
용인시,19940425,강남레쥬베의원,영업/정상,,031-335-9977,"경기도 용인시 처인구 백옥대로 1108, 2층 (김량장동)",경기도 용인시 처인구 김량장동 62번지 1호 2층,17051,37.2344643,127.2092401,의원,218500.5827,414756.1725,의원,352.32
용인시,20090119,강남연세신경과의원,폐업,20091210,8983640,경기도 용인시 기흥구 죽전로 2 (보정동),경기도 용인시기흥구 보정동 1261번지 2호,16897,37.320095,127.108942,의원,209590.7162,424244.8252,의원,25.65
용인시,20110411,강남연세의원,폐업,20110511,031-897-9119,"경기도 용인시 기흥구 죽전로 2 (보정동,현타워 112호)",경기도 용인시 기흥구 보정동 1261번지 2호 현타워 112호,16897,37.320095,127.108942,의원,209590.7162,424244.8252,의원,76.65
용인시,20040902,강남의원,폐업,20070430,031-275-5010,경기도 용인시 기흥구 강남동로114번길 22 (상하동),경기도 용인시 기흥구 상하동 633번지 3호,16981,37.2730147,127.1372996,의원,,,의원,77
용인시,20050422,강남임내과의원,영업/정상,,031-275-7577,"경기도 용인시 기흥구 강남동로 10 (구갈동, 강남피아 205호)",경기도 용인시 기흥구 구갈동 594 강남피아 205,16978,37.27123669,127.1281491,의원,211297.5568,418817.9725,의원,54.12
용인시,20030711,강남치과의원,폐업,,031-276-1591,경기도 용인시 수지구 신수로 785-3 2층 (동천동),경기도 용인시 수지구 동천동 186-9 (2층),16826,37.3401215,127.1022106,치과의원,,,치과의원,71.23
용인시,20171019,강남플러스치과의원,제외/삭제/전출,,031-893-2845,"경기도 용인시 기흥구 신구로12번길 12-1, 2층 (신갈동)",경기도 용인시 기흥구 신갈동 65번지 7호,17064,37.27340222,127.110906,치과의원,209772.0101,419064.9825,치과의원,228.55
용인시,20100709,강남한의원,폐업,20130501,031-333-2642,경기도 용인시 처인구 금령로 62 (김량장동),경기도 용인시 처인구 김량장동 295번지 1호 위너스프라자 2층,17051,37.2345196,127.2032339,한의원,217970.0657,414761.6274,한의원,115.7
용인시,20020325,강북삼성수원의원,영업/정상,,031-8092-8600,경기 용인시 기흥구 흥덕1로 13,,,,,의원,205798.5769,418776.3979,의원,5762
용인시,20161027,강세기신경외과의원,폐업,20180309,031-272-2100,"경기도 용인시 수지구 성복2로 108-2, 102호, 103호 (성복동, 웰스톤갤러리)","경기도 용인시 수지구 성복동 139번지 웰스톤갤러리 102호, 103호",16850,37.3159311,127.0744948,의원,206539.0734,423779.6077,의원,115.42
용인시,20180406,강세기신경외과의원,폐업,20190722,031-272-2100,"경기도 용인시 수지구 성복2로 108-2, 웰스톤갤러리 102호,103호 (성복동)","경기도 용인시 수지구 성복동 139번지 웰스톤갤러리 102,1호",16850,37.3159311,127.0744948,의원,206539.0734,423779.6077,의원,115.42
용인시,20041021,강소아과의원,폐업,20060810,031-275-3324,"경기도 용인시 기흥구 기흥로116번길 60 가동 203호 (신갈동,녹원마을새천년그린빌5단지아파트)",경기도 용인시 기흥구 신갈동 697 새천년그린빌 가동 203호,16961,37.2879627,127.1203769,의원,,,의원,59.11
용인시,20111205,강혜영정신건강의학과의원,영업/정상,,031-286-7705,"경기도 용인시 기흥구 동백중앙로 265 (중동, 더엠빌딩 304호 일부)",경기도 용인시 기흥구 중동 831번지 2호 더엠빌딩 304호 일부,17006,37.27632121,127.152606,의원,213467.613,419392.4214,의원,104.81
용인시,20170808,갤러리치과의원,폐업,20171129,031-266-7855,"경기도 용인시 수지구 만현로 106, 302호 (상현동, 만현프라자)",경기도 용인시 수지구 상현동 254-1번지 만현프라자 302호,16930,37.3070944,127.0848864,치과의원,207460.1507,422801.8493,치과의원,133.35
용인시,20031030,갤러리치과의원,폐업,20170428,031-266-7855,"경기도 용인시 수지구 만현로 106, 3층 302호 (상현동, 만현프라자)",경기도 용인시 수지구 상현동 254번지 1호 만현프라자 3층 302호,16930,37.3070944,127.0848864,치과의원,207460.1507,422801.8493,치과의원,125.4
용인시,19970623,거북이한의원,영업/정상,,031-321-0880,경기도 용인시 처인구 금령로99번길 18 (김량장동),경기도 용인시 처인구 김량장동 133번지 120호,17052,37.23721619,127.2070952,한의원,218309.9553,415062.1433,한의원,178.73
용인시,20040329,건보치과의원,영업/정상,,031-322-5073,"경기도 용인시 처인구 백암면 백암로 217, 3층 (유진빌딩)",경기도 용인시 처인구 백암면 백암리 374번지 30호 유진빌딩 3층,17178,37.16545,127.3736436,치과의원,233120.4854,407140.6712,치과의원,0
용인시,20090916,건한의원,영업/정상,,031-897-7550,"경기도 용인시 기흥구 죽전로 53 (보정동, 야후빌딩)","경기도 용인시 기흥구 보정동 1208번지 3호 야후빌딩 303,304호",16898,37.32074315,127.1146776,한의원,210093.1225,424310.3356,한의원,198.89
용인시,20210707,경동한의원,영업/정상,,031-337-2651,"경기도 용인시 처인구 양지면 양지로 129, 2층 201호",경기도 용인시 처인구 양지면 양지리 629 진주식당,17158,37.23466371,127.2826767,한의원,225014.1234,414790.5077,한의원,127.6
용인시,20060417,경동한의원,영업/정상,,031-285-9075,"경기도 용인시 기흥구 구성로 103 (언남동, 멀티프라자)",경기도 용인시 기흥구 언남동 336번지 7호,16918,37.2939104,127.1207716,한의원,210637.1587,421340.4985,한의원,108.96
용인시,20040814,경태영내과의원,폐업,20170901,031-896-2051,"경기도 용인시 수지구 정든로6번길 2, 304호 (죽전동, 그린피아)",경기도 용인시 수지구 죽전동 452번지 그린피아 304호,16873,37.3270924,127.1128219,의원,209914.1443,425009.322,의원,108
용인시,20040409,경희가족한의원,영업/정상,,031-261-9175,"경기도 용인시 수지구 신봉2로 6, 4층 (신봉동, 신원빌딩)",경기도 용인시 수지구 신봉동 39번지 2호 신원빌딩 4층,16815,37.32354707,127.0778679,한의원,206831.1456,424620.5037,한의원,198.63
용인시,20120427,경희김형태한의원,영업/정상,,031-217-7533,"경기도 용인시 기흥구 흥덕1로79번길 2 (영덕동, 가은프라자 302, 303호)","경기도 용인시 기흥구 영덕동 986번지 1호 가은프라자 302,303호",16954,37.27499329,127.0714955,한의원,206268.3899,419228.1197,한의원,238.79
용인시,20130705,경희누리한의원,영업/정상,,031-212-2125,"경기도 용인시 수지구 광교중앙로 310, 302호 (상현동, 신명프라자)",경기도 용인시 수지구 상현동,16943,37.2975981,127.0697179,한의원,206079.1951,421744.7723,한의원,176.96
용인시,20150518,경희다날한의원,영업/정상,,031-286-1075,경기 용인시 기흥구 신갈로58번길 16-1,,,,,한의원,209478.8729,418922.6726,한의원,204
용인시,20070528,경희다스림한의원,영업/정상,,031-8005-7510,경기 용인시 기흥구 한보라1로64번길 2,,,,,한의원,209441.3073,416485.3401,한의원,203
용인시,19870826,경희더베스트한의원,영업/정상,,031-284-7575,경기 용인시 기흥구 신구로12번길 8-1,,,,,한의원,209736.8273,419047.6355,한의원,602.74
용인시,20070410,경희도담한의원,영업/정상,,031-276-0872,"경기도 용인시 수지구 대지로 28, 2층 (죽전동)",경기도 용인시 수지구 죽전동 1084번지 2호 2층,16873,37.3273985,127.113048,한의원,209954.6796,425056.6995,한의원,100.49
용인시,20050315,경희동제한의원,영업/정상,,031-336-1075,경기 용인시 처인구 금령로 14,,,,,한의원,217500.5011,414765.0349,한의원,0
용인시,20100409,경희라파한의원,폐업,20110215,031-283-1075,"경기도 용인시 기흥구 구갈로 64, 402호 (구갈동,소공빌딩)",경기도 용인시 기흥구 구갈동 352번지 5호 소공빌딩 402호,16972,37.2799881,127.1114904,한의원,209821.9867,419795.8167,한의원,158.73
용인시,20090305,경희라파한의원,폐업,20100401,,"경기도 용인시 기흥구 구갈로 64 (구갈동,소방공제회빌딩 402호)",경기도 용인시 기흥구 구갈동 352번지 5호 소방공제회빌딩 402호,16972,37.2799881,127.1114904,한의원,209821.9867,419795.8167,한의원,158.73
용인시,20020925,경희맑은솔한의원,영업/정상,,031-263-6777,"경기도 용인시 수지구 동천로 62, 203호 (동천동, 센트럴상가)",경기도 용인시 수지구 동천동 768번지 3호 2층,16825,37.3402886,127.0961283,한의원,208733.6057,426507.3725,한의원,92.81
용인시,20040930,경희명한의원,영업/정상,,031-276-1075,"경기도 용인시 수지구 만현로 88, 302호 (상현동, 상현종합상가)",경기도 용인시 수지구 상현동 66번지 9호,16930,37.308761,127.0851928,한의원,207486.7567,422987.459,한의원,74.8
용인시,20031121,경희바른한의원,제외/삭제/전출,,031-283-5583,"경기도 용인시 기흥구 중부대로 353, 2층 (신갈동)",경기도 용인시 기흥구 신갈동 61번지,17064,37.27171247,127.1062134,한의원,209356.1645,418874.9754,한의원,132
용인시,20150820,경희보라한의원,영업/정상,,031-265-1075,"경기도 용인시 수지구 만현로 92, 2층 207~208호 (상현동, IT프라자)",경기도 용인시 수지구 상현동 257번지 1호 IT프라자 2층 207~208호,16930,37.30849181,127.084926,한의원,207459.3936,422950.7614,한의원,179.64
용인시,20000330,경희본한의원,영업/정상,,031-265-7588,"경기도 용인시 수지구 풍덕천로 114, 3층 (풍덕천동)",경기도 용인시 수지구 풍덕천동 1080번지 6호 강동빌딩 3층,16841,37.3221522,127.0947746,한의원,208335.1033,424473.7877,한의원,89.81
용인시,20061002,경희본한의원,영업/정상,,031-693-7975,경기 용인시 기흥구 동백3로11번길 3,,,,,한의원,213524.5016,418613.3217,한의원,116.6
용인시,20100531,경희봄빛한의원,폐업,20130228,031-265-1820,"경기도 용인시 수지구 풍덕천로 110 (풍덕천동,중수빌딩 201호)",경기도 용인시 수지구 풍덕천동 1080번지 3호 중수빌딩 201호,16841,37.3219272,127.0943795,한의원,208300.8318,424449.3358,한의원,138.6
용인시,20131210,경희부부한의원,영업/정상,,031-213-3520,경기도 용인시 기흥구 흥덕중앙로 59 (영덕동),경기도 용인시 기흥구 영덕동 975번지 7호 흥덕노블레스402호,16953,37.2764126,127.0737357,한의원,206466.7165,419395.7526,한의원,145
용인시,20070824,경희사랑나무한의원,영업/정상,,031-336-7559,경기도 용인시 처인구 이동읍 이원로 12 (2층),경기도 용인시 처인구 이동읍 천리 130번지 7호 2층,17128,37.18977567,127.2076769,한의원,218374.1849,409796.6227,한의원,0
용인시,20091001,경희선한의원,폐업,20121211,031-251-7575,"경기도 용인시 기흥구 흥덕중앙로 59, 402호 (영덕동,흥덕노블레스)",경기도 용인시 기흥구 영덕동 975번지 7호 흥덕노블레스 402호,16953,37.2764126,127.0737357,한의원,206466.7165,419395.7526,한의원,127.05
용인시,20050418,경희수인한의원,영업/정상,,031-262-9875,"경기도 용인시 기흥구 죽전로 47, 웰빙타운 3층 301호 (보정동)",경기도 용인시 기흥구 보정동 1208번지 1호 웰빙타운,16898,37.3206762,127.1138279,한의원,210022.9219,424310.335,한의원,146.64
용인시,20180628,경희수지한의원,제외/삭제/전출,,031-262-8077,"경기도 용인시 수지구 수지로342번길 30, 현대프라자빌딩 303호 (풍덕천동)",경기도 용인시 수지구 풍덕천동 704번지 현대프라자빌딩,16837,37.32576666,127.0965811,한의원,208487.0772,424863.7607,한의원,97.87
용인시,20080121,경희신통한의원,영업/정상,,031-889-7600,경기 용인시 수지구 현암로 127,,,,,한의원,210879.3701,425559.5204,한의원,304.22
용인시,20120321,경희약손한의원,영업/정상,,031-306-7512,"경기도 용인시 수지구 대지로 39, 105호 (죽전동, 양지프라자)",경기도 용인시 수지구 죽전동 465번지 1호 양지프라자  105호,16872,37.3283439,127.113794,한의원,210018.9262,425161.9585,한의원,118.02
용인시,19960205,경희온정한의원,폐업,20180604,031-262-8077,"경기도 용인시 수지구 수지로342번길 30, 3층 303호 (풍덕천동, 현대프라자)",경기도 용인시 수지구 풍덕천동 704번지 현대프라자 3층 303호,16837,37.3256738,127.0964938,한의원,208487.0772,424863.7607,한의원,93.32
용인시,20010814,경희올한의원,영업/정상,,031-265-2652,"경기도 용인시 수지구 수지로 119, 데이파크 C동 209호~211호 (성복동)",경기도 용인시 수지구 성복동 70번지 1호 데이파크,16849,37.312955,127.0789366,한의원,206932.1908,423451.9346,한의원,163.18
용인시,20080416,경희인애한의원,영업/정상,,031-264-0064,경기 용인시 수지구 대지로 58,,,,,한의원,210159.3502,425189.4549,한의원,104.12
용인시,20120522,경희지행한의원,폐업,20130114,031-322-8210,"경기도 용인시 처인구 용문로 148 (김량장동, 2층)",경기도 용인시 처인구 김량장동 325번지 15호 2층,17050,37.2360803,127.2021223,한의원,217869.1596,414935.0924,한의원,135.24
용인시,20130208,경희차이한의원,영업/정상,,031-217-7275,"경기도 용인시 수지구 광교중앙로 319, 502호 (상현동, 광교스타천)",경기도 용인시 수지구 상현동 1117번지 광교스타천 502호,16944,37.29842746,127.0690532,한의원,206057.4101,421839.534,한의원,125.77
용인시,20050926,경희치과의원,폐업,20111207,031-273-3322,경기도 용인시 기흥구 덕영대로 1732 (서천동),경기도 용인시 기흥구 서천동 1번지,17104,37.2451347,127.0789134,치과의원,,,치과의원,177
용인시,20180816,경희탑한의원,영업/정상,,031-261-1075,"경기도 용인시 수지구 만현로 110, 원희캐슬프라자 A동 203호 (상현동)",경기도 용인시 수지구 상현동 254번지 14호 원희캐슬프라자,16930,37.3067342,127.0844687,한의원,207423.6344,422761.1441,한의원,137
용인시,20070905,경희태동한의원,영업/정상,,031-266-9993,"경기도 용인시 수지구 용구대로 2797, 201호 (죽전동, 수창빌딩)",경기도 용인시 수지구 죽전동 920번지 수창빌딩 201호,16865,37.33541599,127.1086535,한의원,209559.5663,425938.2525,한의원,111.4
용인시,20060406,경희토비한의원,영업/정상,,031-264-2264,경기 용인시 수지구 만현로 110,,,,,한의원,207423.6344,422761.1441,한의원,146.62
용인시,20041004,경희푸른솔한의원,영업/정상,,031-265-7111,"경기도 용인시 수지구 만현로 82-4, 3층 304호 (상현동, 헤르메스상가)",경기도 용인시 수지구 상현동 66번지 2호 헤르메스상가 3층 304호,16929,37.3094274,127.0857688,한의원,207538.2772,423061.2519,한의원,171.2
용인시,20130314,경희한의원,영업/정상,,031-335-8862,경기 용인시 수지구 성복2로 51,,,,,한의원,218470.2241,415032.9433,한의원,226.71
용인시,20031229,경희해동한의원,폐업,20100530,031-265-1820,"경기도 용인시 수지구 풍덕천로 110 201호 (풍덕천동,중수빌딩)",경기도 용인시 수지구 풍덕천동 1080-3 중수빌딩201,16841,37.3219272,127.0943795,한의원,,,한의원,138.6
용인시,20120126,경희회복한의원,영업/정상,,031-262-5077,"경기도 용인시 수지구 성복2로 114, 301호 (성복동, 플러스클리닉센터)",경기도 용인시 수지구 성복동 129-1번지 플러스클리닉센터 301호,16851,37.31589689,127.0735657,한의원,,,한의원,141.87
용인시,20050316,고내과의원,폐업,20070627,031-275-0913,"경기도 용인시 기흥구 새천년로26번길 2 403호 (신갈동,센타프라자)",경기도 용인시 기흥구 신갈동 714번지 쎈타프라자 403호,16959,37.288962,127.1118868,의원,,,의원,76.52
용인시,19981107,고려가정의원,영업/정상,,031-264-1504,"경기도 용인시 수지구 만현로 20, 4층 401호 (상현동, 성산빌딩)",경기도 용인시 수지구 상현동 3번지 4호 성산빌딩 4층 401호 401호,16929,37.3140387,127.0884136,의원,207771.5838,423572.1197,의원,103.02
용인시,20210602,고려메디웰의원,영업/정상,,031-889-7582,"경기도 용인시 수지구 성복2로 230, 301호 (성복동)",경기도 용인시 수지구 성복동 409-1,16807,37.31993867,127.0622001,의원,205442.5837,424219.4484,의원,149.66
용인시,20180109,고려바른정형외과의원,영업/정상,,031-336-9776,"경기도 용인시 처인구 모현읍 오포로 106, 지하1층, 1층","경기도 용인시 처인구 모현읍 능원리 15번지 18호 지하1층, 1층",16884,37.34325143,127.1782375,의원,215793.7591,427121.8811,의원,486.27
용인시,20071107,고려외과의원,영업/정상,,031-693-5501,경기 용인시 기흥구 동백중앙로 283,,,,,의원,213551.0372,419536.0143,의원,262.15
용인시,20180614,고릴라치과의원,영업/정상,,031-328-8873,경기 용인시 처인구 명지로60번길 8-10,,,,,치과의원,216600.9186,414429.4725,치과의원,140
용인시,20031222,고운비한의원,폐업,20120601,031-263-8878,"경기도 용인시 수지구 만현로 110 (상현동, 원희캐슬프라자 B동305호 )",경기도 용인시 수지구 상현동 254번지 14호,16930,37.306761,127.084886,한의원,207423.6344,422761.1441,한의원,272.32
용인시,20050706,고운얼굴의원,폐업,20060529,031-896-5294,경기도 용인시 수지구 진산로 106 (풍덕천동),경기도 용인시 수지구 풍덕천동 193-8,16923,37.3200412,127.0980776,의원,,,의원,70.3
용인시,19970117,고운이치과의원,폐업,20141029,031-263-2174,경기도 용인시 수지구 풍덕천로 116 (풍덕천동),경기도 용인시 수지구 풍덕천동 1080번지 7호,16841,37.3222602,127.094944,치과의원,208349.9333,424484.3912,치과의원,163.8
용인시,20080403,고운치과의원,영업/정상,,031-889-7526,"경기도 용인시 수지구 현암로 164, 201호 (죽전동, 신주프라자)",경기도 용인시 수지구 죽전동 1190번지 5호 신주프라자 201호,16880,37.3311775,127.1275189,치과의원,211234.919,425476.3767,치과의원,107.16
용인시,20010626,고은가정의학과의원,폐업,20040823,031-305-7575,"경기도 용인시 수지구 만현로 105 상가 (상현동,만현마을쌍용1차아파트)",경기도 용인시 수지구 상현동 850번지 쌍용1차아파트상가,16930,37.3060108,127.0882466,의원,,,의원,75.35
