시군명,관리번호,인허가일자,사업장명,통합영업상태명,영업상태명,소재지시설전화번호,소재지면적(㎡),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값
용인시,4050000-201-1987-00002,19870715,J모텔,영업/정상,영업,031 335 3229,381,경기도 용인시 처인구 중부대로 1493-5 (김량장동),경기도 용인시 처인구 김량장동 63-11 ,449924,37.23375028,127.209762,여관업,218547.0159,414661.0634
용인시,4050000-201-1985-10003,19850731,대호장,영업/정상,영업,031 283 7676,350,경기도 용인시 기흥구 신갈로68번길 2 (신갈동),경기도 용인시 기흥구 신갈동 60 ,446597,37.27256173,127.1058547,여관업,209319.1096,418960.4954
용인시,4050000-201-2000-00009,20000208,호텔마리,영업/정상,영업,031321 0212,967.89,경기도 용인시 처인구 양지면 남평로 73-5,경기도 용인시 처인구 양지면 양지리 138-42 ,449823,37.22892948,127.2920046,여관업,225837.6344,414144.6011
용인시,4050000-201-2017-00010,20171031,와우(WOW),영업/정상,영업,031 334 0505,853.78,경기도 용인시 처인구 중부대로 1417-1 (김량장동),경기도 용인시 처인구 김량장동 337-9번지 ,449926,37.2330534,127.2017876,여관업,217839.957,414601.179
용인시,4050000-201-2003-20013,20031213,호텔 문라이즈(Hotel Moonrise),영업/정상,영업,031 261 5335,"1,721.67",경기도 용인시 수지구 풍덕천로190번길 26 (풍덕천동),경기도 용인시 수지구 풍덕천동 69-41 ,448505,37.32432513,127.1021081,일반호텔,208978.0802,424706.3418
용인시,4050000-201-2004-00010,20041210,호텔 컬리넌 용인,영업/정상,영업,031 335 5454,"2,620.14","경기도 용인시 처인구 백옥대로 1102 (김량장동,외2필지)",경기도 용인시 처인구 김량장동 63-10번지 외2필지 ,449924,37.2337702,127.2094298,일반호텔,218504.5219,414677.0597
용인시,4050000-201-1994-00007,19940118,자연파크,영업/정상,영업,031 322 7311,636.6,경기도 용인시 처인구 포곡읍 전대로78번길 14-4,경기도 용인시 처인구 포곡읍 전대리 191-36 ,449815,37.28608641,127.2175596,일반호텔,219220.5703,420481.5976
용인시,4050000-201-2002-00002,20020218,발렌타인,영업/정상,영업,031 321 0490,"1,251.57",경기도 용인시 처인구 백옥대로 910 (남동),경기도 용인시 처인구 남동 348-4 ,449030,37.21724293,127.2086982,일반호텔,218418.6842,412832.5398
용인시,4050000-201-1991-00001,19910114,성산모텔,영업/정상,영업,031 321 1312,490.95,경기도 용인시 처인구 금령로107번길 16 (김량장동),경기도 용인시 처인구 김량장동 139-22 ,449924,37.23712663,127.2081707,여관업,218403.0532,415040.3635
용인시,4050000-201-1997-10002,19970113,큐 모텔,영업/정상,영업,031 285 4242,"1,282.25",경기도 용인시 기흥구 신갈로58번길 29-18 (신갈동),경기도 용인시 기흥구 신갈동 50-16 ,446596,37.27372597,127.1090069,일반호텔,209599.0786,419089.3419
용인시,4050000-201-2002-10009,20021107,Hotel 9 teen,영업/정상,영업,031 285 0707,"1,434.57",경기도 용인시 기흥구 신정로237번길 7 (신갈동),경기도 용인시 기흥구 신갈동 536-12 ,446599,37.28898053,127.0964616,일반호텔,208489.2306,420779.1595
용인시,4050000-214-2014-00001,20140718,남사 룸앤텔,영업/정상,영업,,756,경기도 용인시 처인구 남사읍 처인성로 309,"경기도 용인시 처인구 남사읍 방아리 111-2 2층,3층,4층 ",17123,37.11753686,127.1609825,숙박업(생활),214237.7301,401767.6163
용인시,4050000-201-1988-00001,19880226,신라장,영업/정상,영업,031 338 3225,401.9,경기도 용인시 처인구 금령로106번길 7 (김량장동),경기도 용인시 처인구 김량장동 103-3번지 ,449924,37.23483728,127.2082584,여관업,218409.1012,414788.6505
용인시,4050000-201-2006-20001,20060809,홀인원,영업/정상,영업,031 896 8738,995.24,경기도 용인시 수지구 풍덕천로190번길 3-14 (풍덕천동),경기도 용인시 수지구 풍덕천동 922번지 ,448854,37.3259843,127.1024966,여관업,209019.4781,424898.9581
용인시,4050000-201-1990-10006,19900224,G모텔,영업/정상,영업,031 281 1814,866,경기도 용인시 기흥구 신갈로58번길 29-7 (신갈동),경기도 용인시 기흥구 신갈동 51-2 ,446596,37.27333733,127.1086931,여관업,209572.6,419051.7359
용인시,4050000-201-1997-10003,19970924,호텔 비엔,영업/정상,영업,031 284 7400,"1,012.84",경기도 용인시 기흥구 기흥단지로 47 (고매동),경기도 용인시 기흥구 고매동 411-23 ,446901,37.22532257,127.1041055,일반호텔,209177.6421,413714.7799
용인시,4050000-201-1982-00002,19820424,삼흥여인숙,영업/정상,영업,031 335 2261,264,경기도 용인시 처인구 백옥대로 1124-2 (김량장동),경기도 용인시 처인구 김량장동 143-7 ,449924,37.23581265,127.20901,여인숙업,218484.2439,414910.2249
용인시,4050000-201-1994-00001,19941208,스튜디오9호텔,영업/정상,영업,,239.61,경기도 용인시 처인구 금령로106번길 6 (김량장동),경기도 용인시 처인구 김량장동 102-1번지 ,449924,37.23497117,127.2079343,여관업,218386.4809,414813.489
용인시,4050000-201-1993-10001,19930709,골드훼미리콘도미니엄,영업/정상,영업,031 286 9111,"5,706.00",경기도 용인시 기흥구 기흥단지로 406 (고매동),경기도 용인시 기흥구 고매동 5-73 ,446901,37.22101641,127.1387432,휴양콘도미니엄업,212199.3979,413149.4067
용인시,4050000-201-1990-10007,19901019,이화모텔,영업/정상,영업,031 283 3691,709.85,경기도 용인시 기흥구 갈천로 70 (상갈동),경기도 용인시 기흥구 상갈동 101-4 ,446905,37.2698613,127.1069854,여관업,209419.2288,418662.3909
용인시,4050000-201-1996-00004,19961009,백암파크,영업/정상,영업,031 339 5733,"1,067.16",경기도 용인시 처인구 백암면 백암로 31-7,경기도 용인시 처인구 백암면 백봉리 832 ,449865,37.15150775,127.3850553,일반호텔,234137.4344,405593.651
용인시,4050000-201-2008-00001,20080402,메리엘,영업/정상,영업,031 281 2031,"1,401.17",경기도 용인시 기흥구 신정로 235 (신갈동),경기도 용인시 기흥구 신갈동 537-31번지 ,446599,37.28898385,127.0969672,여관업,208531.9686,420790.933
용인시,4050000-201-2018-00001,20180912,골든튤립에버용인호텔,영업/정상,영업,031 80973300,"16,785.76","경기도 용인시 처인구 포곡읍 전대로78번길 19-2, 골든튤립에버용인호텔",경기도 용인시 처인구 포곡읍 전대리 356-1번지 골든튤립에버용인호텔 ,449815,37.2869629,127.2167584,일반호텔,219154.823,420584.2069
용인시,4050000-201-1991-10006,19910928,산까치장,영업/정상,영업,031 283 6095,226.32,경기도 용인시 기흥구 마북로 61 (마북동),경기도 용인시 기흥구 마북동 280번지 ,446508,37.2969303,127.1179322,여관업,210391.0273,421674.7345
용인시,4050000-201-2018-00003,20180917,제니스,영업/정상,영업,031 335 5060,589.74,"경기도 용인시 처인구 이동읍 화산로 15-1, 가,나동",경기도 용인시 처인구 이동읍 화산리 664-9 ,17135,37.1461918,127.2043203,일반호텔,218082.2067,404945.8981
용인시,4050000-201-1996-10002,19960628,남양모텔,영업/정상,영업,031 281 8291,752.3,"경기도 용인시 기흥구 중부대로 313, 4,5층 (신갈동)",경기도 용인시 기흥구 신갈동 455-8 ,446599,37.27076341,127.1018036,여관업,208964.5499,418754.8794
용인시,4050000-201-2000-00001,20001110,호텔 에비뉴,영업/정상,영업,031 338 4111,"1,185.00",경기도 용인시 처인구 중부대로1576번길 50 (마평동),경기도 용인시 처인구 마평동 508-7번지 ,449928,37.23244467,127.2249319,일반호텔,219893.4885,414536.4622
용인시,4050000-201-1984-00003,19841130,온천장,영업/정상,영업,031338 3130,132,경기도 용인시 처인구 양지면 양지로 142,경기도 용인시 처인구 양지면 양지리 573-1 ,449823,37.2343957,127.2839965,여관업,225130.3113,414752.832
용인시,4050000-201-1999-00001,19990122,낙원여인숙,영업/정상,영업,031 335 3765,129.83,경기도 용인시 처인구 용문로 196-1 (김량장동),경기도 용인시 처인구 김량장동 133-99 ,449924,37.23735009,127.2074032,여인숙업,218334.8595,415064.3823
용인시,4050000-201-2000-00010,20000414,베네치아모텔,영업/정상,영업,031 338 2122,832.82,경기도 용인시 처인구 양지면 남평로 73-6,경기도 용인시 처인구 양지면 양지리 138-55 ,449823,37.22866851,127.2922533,여관업,225856.5232,414119.0003
용인시,4050000-201-1983-00001,19830824,경림장여관,영업/정상,영업,031 335 2406,396,경기도 용인시 처인구 금령로90번길 9 (김량장동),경기도 용인시 처인구 김량장동 85-7 ,449924,37.23453508,127.2063431,여관업,218239.7326,414753.8694
용인시,4050000-201-2017-00004,20170403,호텔야자 용인터미널지점,영업/정상,영업,031 337 3704,969.61,경기도 용인시 처인구 금령로 110-8,경기도 용인시 처인구 김량장동 104-1 ,17051,37.23488285,127.2084612,일반호텔,218427.1447,414797.8799
용인시,4050000-201-2003-10002,20030204,Monterey17 Hotel,영업/정상,영업,031 287 9522,"1,404.59",경기도 용인시 기흥구 사은로 173 (지곡동),경기도 용인시 기흥구 지곡동 611-1 ,446909,37.25616233,127.124344,일반호텔,210956.3574,417146.3406
용인시,4050000-201-2012-00001,20120830,리 디자인 호텔,영업/정상,영업,031 284 3434,"5,312.11",경기도 용인시 기흥구 동백3로11번길 43 (중동),경기도 용인시 기흥구 중동 845-1 ,446529,37.27224181,127.150353,일반호텔,213271.7035,418934.8518
용인시,4050000-201-1975-00001,19750503,드림파크,영업/정상,영업,031 335 2436,399,경기도 용인시 처인구 금령로71번길 6-12 (김량장동),경기도 용인시 처인구 김량장동 254-34 ,449925,37.23576725,127.2052335,여관업,218141.2912,414890.0495
용인시,4050000-201-2002-10001,20020107,윈져캐슬관광호텔,영업/정상,영업,031 895 5000,"1,653.00",경기도 용인시 기흥구 신정로 212 (신갈동),경기도 용인시 기흥구 신갈동 297-10 ,446598,37.28919861,127.0996307,관광호텔,208762.5922,420812.6394
용인시,4050000-201-2004-10008,20040819,호텔오다(Hotel ODA),영업/정상,영업,031 285 5100,"1,107.00",경기도 용인시 기흥구 신정로 220 (신갈동),경기도 용인시 기흥구 신갈동 297-25 ,446598,37.28935012,127.0991222,일반호텔,208714.8498,420819.4969
용인시,4050000-201-1987-00001,19870627,삼성모텔,영업/정상,영업,031 333 2171,687,"경기도 용인시 처인구 금령로 9 (김량장동,,17호)","경기도 용인시 처인구 김량장동 293-16번지 ,17호 ",449020,37.23493524,127.1971835,여관업,217445.92,414808.014
용인시,4050000-201-2016-00003,20160720,엠스테이호텔 경기기흥,영업/정상,영업,031 337 8890,"7,293.92","경기도 용인시 기흥구 서천로117번길 7 (서천동, 기흥 M-STAY호텔))",경기도 용인시 기흥구 서천동 806 ,446906,37.2373132,127.073524,일반호텔,206450.5069,415046.3771
용인시,4050000-201-1976-00001,19760902,대원여인숙,영업/정상,영업,031 337 0157,287,경기도 용인시 처인구 금령로107번길 6 (김량장동),경기도 용인시 처인구 김량장동 115-14번지 ,449924,37.2359977,127.2082638,여인숙업,218414.3665,414925.8096
용인시,4050000-201-2017-00005,20170627,동도씨앤디주식회사 용인이스키아호텔지점,영업/정상,영업,031 693 9661,"5,378.60",경기도 용인시 기흥구 동백3로11번길 37 (중동),경기도 용인시 기흥구 중동 845-4 ,446529,37.27177475,127.1509192,일반호텔,213315.048,418878.9668
용인시,4050000-201-2004-20005,20040624,Vole(볼) 호텔,영업/정상,영업,031 264 8787,"1,445.23",경기도 용인시 수지구 신수로 623 (풍덕천동),경기도 용인시 수지구 풍덕천동 933번지 ,448854,37.3252634,127.1025521,일반호텔,209024.0345,424818.8361
용인시,4050000-201-2001-00007,20011117,휘닉스모텔,영업/정상,영업,031 322 8680,824.7,경기도 용인시 처인구 금령로117번길 13 (김량장동),경기도 용인시 처인구 김량장동 143-12 ,449924,37.23679539,127.2090965,여관업,218483.9048,415005.5667
용인시,4050000-201-1995-00004,19951222,호텔스테이,영업/정상,영업,031 338 6261,817.72,경기도 용인시 처인구 금령로 142-1 (마평동),경기도 용인시 처인구 마평동 625-2 ,449929,37.23481058,127.2120803,일반호텔,218750.2358,414789.5237
용인시,4050000-201-1995-00002,19950912,T7 HOTEL,영업/정상,영업,031 335 2311,814.44,경기도 용인시 처인구 백옥대로 1130 (김량장동),경기도 용인시 처인구 김량장동 121-1 ,449924,37.23646165,127.2090075,여관업,218477.3831,414971.0458
용인시,4050000-201-2000-00008,20001005,알리앙스,영업/정상,영업,031332 1138,"1,659.84",경기도 용인시 처인구 모현읍 백옥대로 2326,경기도 용인시 처인구 모현읍 왕산리 445-1 외1필지 ,17035,37.33177264,127.247054,일반호텔,221821.2089,425561.2863
용인시,4050000-201-1995-00001,19950615,필모텔,영업/정상,영업,031 338 4437,"1,023.51",경기도 용인시 처인구 중부대로 1412 (김량장동),경기도 용인시 처인구 김량장동 344-1번지 ,449926,37.2325502,127.2009862,일반호텔,217770.328,414541.822
용인시,4050000-201-1994-10005,19941229,소설스미스,영업/정상,영업,031 693 8412,"1,160.74",경기도 용인시 기흥구 민속촌로 57,경기도 용인시 기흥구 보라동 300-2 ,17074,37.25580402,127.1110843,관광호텔,209783.7659,417107.3884
용인시,4050000-201-1999-20003,19990406,리젠드호텔,영업/정상,영업,031 264 8266,"1,720.97",경기도 용인시 수지구 풍덕천로190번길 9 (풍덕천동),경기도 용인시 수지구 풍덕천동 912 ,448854,37.32563246,127.1022028,일반호텔,208987.6689,424857.4495
용인시,4050000-201-2001-10002,20010112,그래이스모텔,영업/정상,영업,031 282 1120,"1,547.89",경기도 용인시 기흥구 용구대로2219번길 14 (신갈동),경기도 용인시 기흥구 신갈동 246-6번지 외1필지 ,446598,37.2871837,127.1054338,일반호텔,209332.0138,420655.2845
용인시,4050000-201-1998-00007,19980228,Q(큐)호텔,영업/정상,영업,031339 8881,"1,222.58",경기도 용인시 처인구 포곡읍 전대로110번길 10-3,경기도 용인시 처인구 포곡읍 전대리 355-15번지 ,449815,37.2868472,127.2159236,일반호텔,219082.2972,420572.2497
용인시,4050000-201-2004-00007,20040803,리스텔,영업/정상,영업,031 338 1535,"1,251.03",경기도 용인시 처인구 양지면 남평로 85,경기도 용인시 처인구 양지면 양지리 129-11 ,449823,37.22776837,127.2929772,여관업,225926.0729,414024.3668
용인시,4050000-201-1997-00006,19970828,리츠모텔,영업/정상,영업,031 334 3573,797.43,경기도 용인시 처인구 포곡읍 전대로78번길 18-1,경기도 용인시 처인구 포곡읍 전대리 191-28 ,449815,37.28652763,127.2173662,여관업,219219.8367,420519.9262
용인시,4050000-201-1989-00003,19891206,로얄파크,영업/정상,영업,031 335 7118,507.38,경기도 용인시 처인구 중부대로 1493-7 (김량장동),경기도 용인시 처인구 김량장동 63-1 ,449924,37.23385828,127.209694,여관업,218539.6797,414680.2123
용인시,4050000-201-2004-00011,20041221,SR 디자인 호텔,영업/정상,영업,031 3389402,"3,345.32",경기도 용인시 처인구 금령로90번길 5 (김량장동),경기도 용인시 처인구 김량장동 87-1 ,449924,37.23483313,127.2065787,일반호텔,218260.4181,414787.8576
용인시,4050000-201-2003-20008,20030808,수지스테이25,영업/정상,영업,031 276 0067,"1,369.40",경기도 용인시 수지구 신수로 613,경기도 용인시 수지구 풍덕천동 1005 ,16833,37.32454332,127.10266,일반호텔,209027.8467,424727.4921
용인시,4050000-201-1996-00003,19961017,에버파크,영업/정상,영업,031 333 1105,686.1,경기도 용인시 처인구 포곡읍 전대로 88,경기도 용인시 처인구 포곡읍 전대리 360-2번지 ,449815,37.2854315,127.2165624,여관업,219140.0184,420416.0514
용인시,4050000-201-2003-00007,20030728,모텔클레식,영업/정상,영업,031 323 2222,"1,566.64",경기도 용인시 처인구 백암면 죽양대로 1189,경기도 용인시 처인구 백암면 백암리 246번지 ,449862,37.16908568,127.376378,일반호텔,233353.6833,407531.5952
용인시,4050000-201-2011-00002,20110530,미니여관,영업/정상,영업,031 321 0480,582.62,경기도 용인시 처인구 금령로71번길 6-4 (김량장동),경기도 용인시 처인구 김량장동 254-72 ,449925,37.23551343,127.2046595,여관업,218092.7073,414864.0051
용인시,4050000-214-1988-00001,19850419,한화호텔앤드리조트(주)용인,영업/정상,영업,031 332 1122,"13,078.00",경기도 용인시 처인구 남사읍 봉무로153번길 79,경기도 용인시 처인구 남사읍 봉무리 257-1 ,17119,37.13300951,127.1410084,숙박업(생활),213084.4439,404789.8474
용인시,4050000-201-2000-20006,20000816,IMT호텔,영업/정상,영업,031 265 6761,"1,987.98",경기도 용인시 수지구 풍덕천로190번길 13 (풍덕천동),경기도 용인시 수지구 풍덕천동 920 ,448854,37.32536228,127.102272,일반호텔,208993.5118,424820.6486
용인시,4050000-201-2002-00008,20020215,호텔베너,영업/정상,영업,031 321 4106,"1,711.39",경기도 용인시 처인구 양지면 남평로 51-8,경기도 용인시 처인구 양지면 양지리 493-54 ,449823,37.23015301,127.2906484,일반호텔,225712.9083,414292.1316
용인시,4050000-201-2013-00001,20130311,샹그리아,영업/정상,영업,031 322 6760,"1,606.17",경기도 용인시 처인구 양지면 양지로148번길 11,경기도 용인시 처인구 양지면 양지리 581-3 ,449823,37.23349584,127.2848446,일반호텔,225205.9897,414657.4453
용인시,4050000-201-1989-20007,19891227,유토피아모텔,영업/정상,영업,031 276 6331,396,경기도 용인시 수지구 풍덕천로190번길 19-1 (풍덕천동),경기도 용인시 수지구 풍덕천동 941 ,448854,37.32483111,127.1024666,여관업,209008.4697,424758.9848
용인시,4050000-201-1991-00007,19911023,힐(HILL)모텔,영업/정상,영업,031 333 1406,583.38,경기도 용인시 처인구 이동읍 백옥대로 568,경기도 용인시 처인구 이동읍 천리 147-4 ,17128,37.18750773,127.2059732,여관업,218235.5596,409530.423
용인시,4050000-201-1989-00002,19891113,자주모텔,영업/정상,영업,031 335 1573,221.37,경기도 용인시 처인구 금령로107번길 15 (김량장동),경기도 용인시 처인구 김량장동 136-4 ,449924,37.23702712,127.2080245,여관업,218380.9417,415032.0664
용인시,4050000-201-2017-00008,20170913,뉴스카이,영업/정상,영업,031 339 0064,"2,009.02",경기도 용인시 처인구 백암면 고안로 50,경기도 용인시 처인구 백암면 고안리 490-2 ,449863,37.1327201,127.4029399,관광호텔,235736.6442,403517.0889
용인시,4050000-201-2006-10001,20061030,코리아골프빌리지 기흥아펠바움,영업/정상,영업,,"17,346.26",경기도 용인시 기흥구 기흥단지로 394 (고매동),경기도 용인시 기흥구 고매동 5-56번지 ,446901,37.2169916,127.1345751,휴양콘도미니엄업,211878.7463,412805.8033
용인시,4050000-201-1989-10008,19891010,벨리노에스 호텔,영업/정상,영업,031 287 6200,322.35,경기도 용인시 기흥구 용구대로 2361 (마북동),경기도 용인시 기흥구 마북동 476-5 외1필지 ,446912,37.2971345,127.1088068,일반호텔,209564.0118,421682.3925
용인시,4050000-201-1985-10004,19850810,M모텔,영업/정상,영업,031 283 2653,889.56,경기도 용인시 기흥구 신갈로58번길 29-21 (신갈동),경기도 용인시 기흥구 신갈동 52-8번지 ,446596,37.2737918,127.1085275,일반호텔,209560.0569,419108.7261
용인시,4050000-201-2004-10001,20040112,스카이호텔,영업/정상,영업,031 282 4608,"2,240.80",경기도 용인시 기흥구 갈천로7번길 83 (신갈동),경기도 용인시 기흥구 신갈동 68-7번지 ,446597,37.2712149,127.1084337,일반호텔,209551.8313,418819.5457
용인시,4050000-201-1990-10010,19900707,청실장,영업/정상,영업,031 283 5695,525.15,경기도 용인시 기흥구 갈천로 78 (상갈동),경기도 용인시 기흥구 상갈동 123 ,446905,37.27006256,127.1078754,여관업,209498.0609,418679.8886
용인시,4050000-201-1995-00010,19950109,STAY HOTEL,영업/정상,영업,031 336 7687,332.32,경기도 용인시 처인구 양지면 남평로 367,경기도 용인시 처인구 양지면 평창리 676 ,449821,37.22084645,127.315314,일반호텔,227916.4995,413260.3814
용인시,4050000-201-2018-00002,20180917,라데팡스,영업/정상,영업,031 335 5560,604.7,경기도 용인시 처인구 이동읍 화산로 15,경기도 용인시 처인구 이동읍 화산리 664-18 ,17135,37.14593882,127.2040848,일반호텔,218056.7493,404908.575
용인시,4050000-201-1985-10005,19850914,마징가 모텔,영업/정상,영업,031 286 5265,120,경기도 용인시 기흥구 농서로 2 (고매동),경기도 용인시 기흥구 고매동 696-4 ,446901,37.22221772,127.0975615,여관업,208588.1375,413374.6442
용인시,4050000-201-2000-00011,20001109,호텔카사,영업/정상,영업,031 321 1353,"1,036.00",경기도 용인시 처인구 양지면 남평로 73-1,경기도 용인시 처인구 양지면 양지리 138-3 ,449823,37.22875749,127.2915879,일반호텔,225809.3145,414126.6589
용인시,4050000-201-2016-00001,20160128,얼레이호텔,영업/정상,영업,031 693 9181,"4,117.00","경기도 용인시 기흥구 신정로 231, 1, 2동 1-8층 (신갈동)","경기도 용인시 기흥구 신갈동 536-4번지 외 2필지 1,2동 ",446599,37.2884878,127.0974965,관광호텔,208578.4819,420736.5046
용인시,4050000-201-1994-00003,19940916,칼리야 모텔,영업/정상,영업,3390071,693.84,경기도 용인시 처인구 중부대로 1077 (삼가동),경기도 용인시 처인구 삼가동 208-7 ,449060,37.24360737,127.1670371,일반호텔,214744.6601,415758.8402
용인시,4050000-201-1998-00001,19980227,초콜릿,영업/정상,영업,031 336 9249,894.69,경기도 용인시 처인구 중부대로 1493-3,경기도 용인시 처인구 김량장동 63-12 ,17051,37.23353422,127.2098756,여관업,218553.8608,414643.146
용인시,4050000-201-1990-00001,19901101,그린장여관,영업/정상,영업,031 336 1900,727.2,경기도 용인시 처인구 중부대로 1379 (김량장동),경기도 용인시 처인구 김량장동 329-1 ,449926,37.23417146,127.1979569,여관업,217494.4221,414704.2645
용인시,4050000-201-1997-00004,19970116,대성파크,영업/정상,영업,031 339 0589,989.9,경기도 용인시 처인구 포곡읍 전대로78번길 7,경기도 용인시 처인구 포곡읍 전대리 361-2 ,449815,37.28559834,127.2170087,여관업,219173.2063,420423.3921
용인시,4050000-201-2000-10003,20001212,에이스호텔,영업/정상,영업,031 281 1421,"1,873.00",경기도 용인시 기흥구 신갈로 5-15 (상갈동),경기도 용인시 기흥구 상갈동 165-5번지 ,446905,37.2685419,127.1049125,일반호텔,209239.4651,418524.2176
용인시,4050000-201-2017-00009,20170921,용인라마다호텔,영업/정상,영업,031 80977505,"20,243.75",경기도 용인시 처인구 포곡읍 마성로 420,경기도 용인시 처인구 포곡읍 전대리 356-6번지 ,449815,37.2865127,127.2165429,일반호텔,219137.7826,420535.7346
용인시,4050000-201-1990-00002,19900802,리스빌,영업/정상,영업,031 335 2389,418.77,경기도 용인시 처인구 금령로 157 (마평동),경기도 용인시 처인구 마평동 649-3 ,449929,37.23486879,127.2137824,여관업,218902.7981,414795.2344
용인시,4050000-201-1998-10002,19980710,아미부띠끄호텔,영업/정상,영업,031 286 7272,"1,305.02",경기도 용인시 기흥구 기흥단지로 49 (고매동),경기도 용인시 기흥구 고매동 411-19 ,446901,37.22554852,127.1042847,여관업,209194.7849,413739.387
용인시,4050000-201-1983-00004,19830910,우리여인숙,영업/정상,영업,,149.2,경기도 용인시 처인구 금령로107번길 15 (김량장동),경기도 용인시 처인구 김량장동 136-4번지 ,449924,37.23693553,127.207872,여인숙업,218380.9417,415032.0664
용인시,4050000-201-2001-00009,20011217,아이에스모텔,영업/정상,영업,031 3211330,"1,997.76",경기도 용인시 처인구 백옥대로 1255-7 (유방동),경기도 용인시 처인구 유방동 510-1 ,449935,37.24688009,127.2119668,일반호텔,218751.7054,416156.8592
용인시,4050000-201-2001-00008,20011204,하이얀모텔,영업/정상,영업,031 335 2211,830,경기도 용인시 처인구 한터로 58 (유방동),경기도 용인시 처인구 유방동 422-2 ,449935,37.25267117,127.2174025,일반호텔,219208.3711,416758.466
용인시,4050000-201-1995-10006,19951024,선비파크,영업/정상,영업,031 284 7007,928.8,경기도 용인시 기흥구 상갈로 13 (상갈동),경기도 용인시 기흥구 상갈동 122-27 ,446905,37.26779792,127.107233,일반호텔,209441.984,418432.6788
용인시,4050000-201-2002-20010,20021122,벨라지오,영업/정상,영업,031 276 7001,949.02,경기도 용인시 수지구 신수로 629 (풍덕천동),경기도 용인시 수지구 풍덕천동 923 ,448854,37.32594029,127.1026075,여관업,209020.4777,424883.3915
용인시,4050000-201-2017-00003,20170331,썬스테이호텔,영업/정상,영업,031 337 3555,"2,931.40",경기도 용인시 처인구 중부대로 1399 (김량장동),경기도 용인시 처인구 김량장동 336-11 ,449926,37.23322074,127.1998321,일반호텔,217663.5385,414608.4508
